id,accX,accY,accZ,gyroX,gyroY,gyroZ,timestamp
00de01a6-0b44-472f-b138-8e86df5d2ecd,-0.72,0.43,0.58,,,,2024-03-22 16:05:53.351
00de2432-4263-4a4f-96aa-b96a1c588c9a,0.07,0.13,0.95,,,,2024-03-22 16:01:24.440
00e0c26b-91d2-4695-8e51-88c27b6380b9,-0.92,0.49,1.73,,,,2024-03-22 16:03:39.486
00e10fca-3067-4560-9ccf-dbc86bbb1482,0.24,0.86,-0.55,,,,2024-03-22 16:03:22.295
00e3cde9-8002-4f18-acdd-951cd70be715,0.01,0.81,-1.71,,,,2024-03-22 16:04:55.264
00e7c9b0-2dc2-4f18-94e9-6e4c2e2db20f,0.74,0.64,-0.24,,,,2024-03-22 16:00:16.628
00e94696-bf9f-4b00-81f2-6af35f6fcd0d,-0.08,1.01,0.06,,,,2024-03-22 16:00:21.246
00eb04be-0c6e-482b-b76a-95900616d339,-0.09,1.11,0.01,,,,2024-03-22 16:02:16.057
00f01d3e-b538-4f86-a886-fb31621eaaba,-0.63,0.41,0.64,,,,2024-03-22 16:05:53.632
00f2a556-c923-4cf9-ab56-279456fa7bee,1.93,-4.49,2.6,,,,2024-03-22 16:04:19.036
00f37ba9-1b3b-4f5e-b730-9efae7ec6182,-7.06,-9.02,0.41,,,,2024-03-22 16:01:59.898
00f59661-1b3f-4ba8-aa91-3452f4dc4561,-0.04,0.62,-0.31,,,,2024-03-22 16:04:54.499
00f62e73-e1cd-4288-b452-838760a69aa2,0.52,0.72,-0.67,,,,2024-03-22 15:59:54.529
00f77700-f11c-48dd-ab82-96a0b544505b,-0.16,0.78,0.49,,,,2024-03-22 16:02:36.124
00f7e2be-ede6-402d-82eb-0e0c38f18d08,-0.16,-2.43,-2.72,,,,2024-03-22 16:04:20.022
00fac1e5-0730-43a7-b460-a4b15e76b044,-8.51,-3.71,-7.82,,,,2024-03-22 16:02:41.217
00fed266-505d-428f-8bea-dcdf759f95d6,-1.18,0.84,0.62,,,,2024-03-22 16:01:59.538
0103c525-9a2f-4564-be57-03ef25851315,0.15,1.95,0.11,,,,2024-03-22 16:05:42.873
01069d73-d669-4993-a42c-1299c3ca40cb,-0.15,-0.8,0.97,,,,2024-03-22 16:00:45.055
010b9cf6-9645-408c-ac55-d554f3d81804,10.66,-6.7,0.95,,,,2024-03-22 16:01:55.985
010cd624-b8d5-4dd9-83cc-ba795a4f6ade,0.1,1.28,0.05,,,,2024-03-22 16:03:28.321
010f0592-df80-4e6f-98fe-ed88cfc781d2,0.82,0.27,0.82,,,,2024-03-22 16:01:26.960
01140f54-e2a7-462d-8614-c535d7b4aad6,-0.53,0.97,0.44,,,,2024-03-22 16:02:09.891
0129468e-5a85-4261-8590-bae8db430115,-2.53,-0.68,-0.79,,,,2024-03-22 16:02:44.903
0129d3fe-08fa-4d8b-bd4d-d9b35e8cbf9b,4.91,0.11,2.64,,,,2024-03-22 16:04:22.509
012b0dcd-399d-4a74-964f-3a19ec036b83,0.12,0.31,0.32,,,,2024-03-22 16:02:06.823
012e1be8-1227-4973-ab3d-105fc209af4b,8.38,2.64,6.54,,,,2024-03-22 16:01:54.989
01304015-977c-4764-8b9e-12e7160cadfd,-0.55,0.02,0.11,,,,2024-03-22 16:02:47.369
0134ea4e-2c1a-4b98-af6f-5e9838170a50,-0.03,-0.55,-0.05,,,,2024-03-22 16:01:45.320
013608fc-4c3e-4e0c-9217-d51ea22dbc3b,0.18,0.85,-0.16,,,,2024-03-22 16:00:32.505
013aaacc-d08d-4ca3-9b47-0e6d63476b1d,0.04,0.57,0.07,,,,2024-03-22 16:05:43.095
01420146-9b4e-4997-be5b-da1c05766477,0.05,0.94,4.68,,,,2024-03-22 16:03:15.546
0146b74a-dabe-4a8c-9edf-651d4c089536,0.04,1.08,0.05,,,,2024-03-22 16:01:40.418
0147dd4f-4efc-4aab-be22-7b3f2a4e6fd6,8.79,2.47,-1.22,,,,2024-03-22 16:04:16.925
014cf1db-d188-4692-9745-0563173647d3,0.04,1.35,0.06,,,,2024-03-22 16:03:24.639
014d351e-8e93-49ed-8fff-50be002d57f6,0.37,0.86,-0.83,,,,2024-03-22 16:00:16.491
014f4db5-f2d5-41b5-977b-2228622e6ad0,1.35,1.82,-0.65,,,,2024-03-22 16:04:10.213
014f805d-154d-4828-8b48-4354aa2f1dd1,-0.83,-0.14,0.45,,,,2024-03-22 16:02:37.576
015369ad-364c-4526-8282-fe0bce03183b,0.04,0.27,-0.04,,,,2024-03-22 16:04:11.079
0153cca0-1707-423f-a8b7-5011908b5515,0.08,-0.2,-0.24,,,,2024-03-22 16:05:09.528
01541cf3-589c-49ab-83a1-2ef10ab707bf,-0.12,-0.09,0.02,,,,2024-03-22 16:04:56.070
01544dd8-0177-4eaf-8b02-ac5c289a5c29,-0.32,0.81,0.07,,,,2024-03-22 16:04:06.305
0154fef9-2fef-4fd8-a9eb-a8a027507540,-0.23,0.17,0.69,,,,2024-03-22 16:05:00.746
01582630-61e6-4d5c-8c8b-a7c23f823676,-0.17,-0.98,-0.18,,,,2024-03-22 15:59:49.663
015b3bc5-70a1-4cc1-8795-0cbfdfdeb0b6,-2.84,2.62,-1.54,,,,2024-03-22 16:02:02.334
015b78cf-e1cf-4fad-8840-78a178fff301,-0.16,-0.7,0.41,,,,2024-03-22 16:02:39.896
015b8207-f540-44ba-9b4b-aab1b8d5c5ad,-0.02,0.09,-1.06,,,,2024-03-22 16:01:31.229
01615413-21d0-4d6a-9439-3963b9d4cff4,0.74,-4.25,-4.37,,,,2024-03-22 16:04:19.989
01623f24-b1c2-4dbb-b853-088bf3ac400d,-1.24,0.98,0.71,,,,2024-03-22 16:03:39.489
01660314-672f-4546-a9a5-4e32c445ae1e,8.87,-4.41,1.97,,,,2024-03-22 16:04:22.405
01664e77-92e5-44d8-8e69-cccd4df9831b,-0.07,0.09,0.47,,,,2024-03-22 16:04:59.486
016731e7-cab1-434c-a9ad-3b87a2809ee4,0.35,0.49,-1.26,,,,2024-03-22 16:03:34.803
0167e11a-e4b4-45df-a105-07854ad7404a,-1.38,-3.0,1.5,,,,2024-03-22 16:01:59.451
016e0e25-d770-4ffe-bb62-6418dc23188d,-0.24,0.92,-0.12,,,,2024-03-22 16:00:25.619
0170a6c8-d877-4349-9147-d0a9249ca45b,0.82,-0.56,-0.08,,,,2024-03-22 16:04:25.562
01736763-746a-4b79-8390-ff2d0c0a949f,1.98,-4.05,-1.9,,,,2024-03-22 16:03:03.886
01796832-3b46-4b0f-a4c0-3cdf3e7a788b,-1.02,1.45,-0.66,,,,2024-03-22 16:01:02.476
017b3cab-60aa-456c-adbb-838b1a284522,5.23,-1.86,4.53,,,,2024-03-22 16:03:50.834
017d2819-0eb1-4a9a-904c-005ad829ff94,1.21,0.53,-0.83,,,,2024-03-22 16:03:43.583
017d6409-b195-4995-b8aa-5ea83bea9de0,14.57,-6.77,3.01,,,,2024-03-22 16:04:15.172
0184749f-187e-4fa7-954f-5f61a2068b6f,1.1,3.6,-0.13,,,,2024-03-22 16:03:15.006
018774bc-b238-4f3b-a11d-19c68b53ea02,1.69,-2.44,-0.86,,,,2024-03-22 16:04:27.682
018a6a62-6b32-44b1-af05-3f27b74ccadb,0.3,-0.02,0.08,,,,2024-03-22 16:05:17.008
018e3f86-9308-4d6f-b4a9-3a4eb2c61e20,0.36,-0.0,1.08,,,,2024-03-22 16:01:24.206
018ecb44-bc1d-4a6f-b7fb-2591fddc9bbd,-0.08,-0.1,0.06,,,,2024-03-22 16:04:49.462
0191efce-689d-48f7-9405-b0b457082708,-0.02,1.1,0.02,,,,2024-03-22 16:03:29.856
0192c53e-7ea3-46ba-8241-95b60ca22efe,-0.02,0.93,0.21,,,,2024-03-22 16:04:44.917
019749ba-8dfa-493c-9362-90be9b9081e1,0.36,-0.06,0.25,,,,2024-03-22 16:05:00.026
01987522-5140-4181-8c44-2c7190597c15,-0.31,0.11,-0.43,,,,2024-03-22 16:04:55.897
0198cf55-fde6-4c95-b233-c3e8581d6b09,-0.3,-0.09,-0.85,,,,2024-03-22 16:01:30.647
01a3429a-8e12-4016-95aa-6ac1f80cd1fc,-1.25,-0.43,-0.41,,,,2024-03-22 16:06:01.102
01a4e615-0f2f-4845-b5d9-cef796f2b9ed,0.64,1.38,-0.19,,,,2024-03-22 15:59:49.491
01b8e547-2e22-444a-b9aa-eeab8a99052c,0.89,0.14,-0.21,,,,2024-03-22 16:01:56.881
01b9d683-29c6-4168-956e-d323ecab8d2e,-2.47,-0.62,-3.19,,,,2024-03-22 16:02:43.905
01c113df-91ed-4871-8c3d-9638e430470c,-0.64,0.13,-1.34,,,,2024-03-22 16:02:45.208
01c2b3df-997e-462e-ae2d-cda129a5dcdc,-0.96,-2.49,1.34,,,,2024-03-22 16:01:46.532
01c4b576-34c5-464f-8978-1c0dd863ea6b,-0.88,0.65,0.73,,,,2024-03-22 16:05:56.288
01c6be2b-2102-4979-8a3b-719e841ced81,-0.05,0.92,-0.06,,,,2024-03-22 16:03:33.899
